NTD ID,Legacy NTD ID,Agency,Mode/Type of Service Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
30019,3019,Southeastern Pennsylvania Transportation Authority,Active,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD",DR,PT,Bus,"7,539,725 ","8,578,317 ","9,021,410 ","8,981,310 ","9,092,853 ","9,195,651 ","9,373,844 ","9,708,886 ","10,098,976 ","9,726,045 ","10,112,391 ","11,453,445 ","10,910,581 ","11,283,396 ","11,279,666 ","11,003,433 ","10,164,627 ","10,182,968 ","4,600,175 ","5,049,950 ","6,130,184 ","6,102,463 ","7,454,959 ","7,055,522 ","1,547,602 "
30019,3019,Southeastern Pennsylvania Transportation Authority,Active,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD",HR,DO,Rail,"15,855,789 ","16,630,746 ","16,060,324 ","15,852,700 ","15,794,006 ","15,708,774 ","16,588,941 ","16,795,807 ","17,373,502 ","16,976,069 ","16,924,935 ","17,008,106 ","17,074,266 ","17,206,073 ","16,924,865 ","16,914,188 ","17,112,216 ","17,014,997 ","15,833,090 ","15,938,776 ","15,379,263 ","14,650,827 ","15,033,699 ","14,464,662 ","3,496,647 "
30019,3019,Southeastern Pennsylvania Transportation Authority,Inactive,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD",LR,DO,Rail,"3,021,838 ","3,227,313 ","3,352,926 ","3,387,035 ","3,718,558 ","3,774,965 ","3,798,843 ","3,587,965 ","3,433,226 ","3,480,525 ",,,,,,,,,,,,,,,
30019,3019,Southeastern Pennsylvania Transportation Authority,Active,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD",MB,DO,Bus,"39,260,192 ","39,697,883 ","39,599,607 ","39,749,464 ","39,987,154 ","39,919,946 ","40,329,122 ","40,357,661 ","41,181,387 ","39,998,818 ","40,192,469 ","40,162,582 ","39,722,518 ","39,846,768 ","39,319,256 ","39,740,802 ","40,806,234 ","41,491,071 ","36,714,244 ","38,764,166 ","38,722,512 ","37,909,129 ","37,083,104 ","36,674,730 ","8,925,721 "
30019,3019,Southeastern Pennsylvania Transportation Authority,Active,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD",MB,PT,Bus,"118,255 ","163,786 ","121,606 ","71,775 ","70,337 ","78,545 ","87,957 ","88,319 ","83,360 ","41,616 ",,"145,971 ","143,256 ",,"83,324 ","165,991 ","165,484 ","156,565 ","140,486 ","127,436 ","127,643 ","126,209 ","123,662 ","92,184 ",0 
30019,3019,Southeastern Pennsylvania Transportation Authority,Active,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD",SR,DO,Rail,,,,,,,,,,,"3,267,739 ","3,408,933 ","3,492,318 ","3,279,657 ","3,299,643 ","3,188,165 ","3,251,438 ","3,135,533 ","2,408,771 ","2,325,312 ","2,284,992 ","2,396,383 ","2,506,652 ","2,546,405 ","603,598 "
30019,3019,Southeastern Pennsylvania Transportation Authority,Active,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD",TB,DO,Bus,"507,108 ","78,327 ",,,,,"499,897 ","907,950 ","928,088 ","906,265 ","915,589 ","900,626 ","950,752 ","878,201 ","840,324 ","878,526 ","574,040 ","704,323 ","693,972 ","708,400 ","776,162 ","807,986 ","766,790 ","622,154 ","161,658 "
30022,3022,Pittsburgh Regional Transit,Active,Full Reporter,69697,"Pittsburgh, PA",DR,PT,Bus,0 ,0 ,0 ,0 ,0 ,"10,995,223 ","11,063,576 ","10,672,036 ","10,961,315 ","10,866,692 ","10,669,446 ","9,905,805 ","9,343,546 ","9,441,677 ","9,289,574 ","9,358,981 ","9,041,242 ","8,675,737 ","5,226,090 ","5,872,783 ","6,399,746 ","6,795,266 ","6,518,539 ","6,253,584 ","1,452,593 "
30022,3022,Pittsburgh Regional Transit,Active,Full Reporter,69697,"Pittsburgh, PA",IP,DO,Rail,0 ,0 ,0 ,0 ,0 ,"15,839 ","18,017 ","18,032 ","16,340 ","17,807 ","17,154 ","19,140 ","19,656 ","14,537 ","14,119 ","14,230 ","14,786 ","9,318 ","11,589 ","13,379 ","7,736 ","19,153 ","16,991 ","21,132 ","5,349 "
30022,3022,Pittsburgh Regional Transit,Inactive,Full Reporter,69697,"Pittsburgh, PA",IP,PT,Rail,0 ,0 ,0 ,0 ,0 ,"16,284 ","18,514 ","25,118 ","24,979 ","23,291 ","23,886 ",,,,,,,,,,,,,,
30022,3022,Pittsburgh Regional Transit,Active,Full Reporter,69697,"Pittsburgh, PA",LR,DO,Rail,"1,297,869 ","1,227,975 ","1,383,890 ","1,490,455 ","1,535,906 ","1,968,567 ","1,960,307 ","1,921,396 ","1,867,754 ","2,289,521 ","1,942,626 ","2,038,437 ","2,084,212 ","2,151,424 ","2,175,366 ","2,167,211 ","2,184,816 ","2,158,309 ","1,575,406 ","1,495,622 ","1,369,504 ","1,499,741 ","1,630,932 ","1,654,234 ","381,441 "
30022,3022,Pittsburgh Regional Transit,Active,Full Reporter,69697,"Pittsburgh, PA",MB,DO,Bus,"29,038,506 ","28,138,428 ","29,022,889 ","27,268,519 ","27,269,622 ","25,641,277 ","24,167,832 ","26,983,574 ","23,903,021 ","20,268,300 ","18,777,402 ","18,787,495 ","19,627,336 ","20,478,672 ","20,991,787 ","21,047,448 ","21,140,054 ","20,947,639 ","19,618,771 ","18,905,392 ","18,196,571 ","18,678,600 ","18,795,611 ","18,774,841 ","4,593,976 "
30023,3023,Beaver County Transit Authority,Active,Full Reporter,69697,"Pittsburgh, PA",DR,DO,Bus,,"145,230 ",,,"567,548 ","524,063 ","470,207 ","458,247 ","540,756 ","547,307 ","539,664 ","554,009 ","518,318 ","457,300 ","460,206 ","434,399 ","459,690 ","462,477 ","302,430 ","360,431 ","419,381 ","446,564 ","448,667 ","458,191 ","114,714 "
30023,3023,Beaver County Transit Authority,Active,Full Reporter,69697,"Pittsburgh, PA",MB,DO,Bus,,"257,433 ",,,"966,577 ","948,014 ","944,998 ","916,237 ","854,564 ","789,976 ","783,241 ","793,716 ","771,391 ","793,577 ","807,340 ","775,908 ","766,031 ","742,207 ","655,346 ","609,045 ","593,973 ","594,435 ","584,832 ","615,626 ","155,178 "
